Π中間子 	パイちゅうかんし	 pion (physics)
上下動 	じょうげどう	 vertical motion (in earthquakes)
上下水道 	じょうげすいどう	 water and sewer services
上下線 	じょうげせん	 both (railway) tracks
上世 	かみつよ	 antiquity, ancient times
上世 	じょうせい	 antiquity, ancient times jousei 2  
上中下 	じょうちゅうげ	 excellent-good-poor, first-second-third (class)
上乗り 	うわのり	 supercargo
上京 	じょうきょう	 proceeding to the capital (Tokyo) (vs) joukyou 2  
上京中 	じょうきょうちゅう	 in the capital
上付く 	うわつく	 to be fickle, to be flippant, to be restless uwatsuku 2  
上代 	じょうだい	 ancient times joudai 2  
上位 	じょうい	 superior (rank not class), higher order (e.g. byte), host computer (of connected device) joui 2  
上位互換性 	じょういごかんせい	 upward compatibility
上位構造 	じょういこうぞう	 higher structure
上体 	じょうたい	 upper part of the body joutai 2  
上作 	じょうさく	 good crop, masterpiece jousaku 2  
上例 	じょうれい	 above example jourei 2  
上値 	うわね	 higher price, price rise
上側 	うわかわ	 upper side, surface uwakawa 2  
上側 	うわがわ	 upper side, surface
上働き 	うわばたらき	 housemaid
上出来 	じょうでき	 good performance
上分別 	じょうふんべつ	 good idea, wise policy
上前 	うわまえ	 outer skirt, percentage, commission
上包み 	うわづつみ	 cover, wrapper, envelope
上半 	じょうはん	 first half, upper half
上半期 	かみはんき	 first half of a year
上半身 	じょうはんしん	 upper half of body, bust
上古 	じょうこ	 ancient times
上古史 	じょうこし	 ancient history
上句 	じょうく	 the first part of a poem or verse jouku 2  
上向 	じょうこう	 upturn joukou 2  
上向き 	うわむき	 upturn, upward tendency, looking upward
上向き 	うえむき	 upturn, upward tendency, looking upward
上向きの互換性 	じょうむきのごかんせい	 upward compatibility
上向く 	うわむく	 to rise, to look up, to turn upward
上向く 	うえむく	 to look upward, to turn upward, to rise
上向線 	じょうこうせん	 upswing
上告 	じょうこく	 appeal (to the supreme court) (vs)
上品 	じょうひん	 elegant (an), refined, polished
上品 	じょうぼん	 Buddhism's highest paradise
上唇 	うわくちびる	 upper lip
上唇 	じょうしん	 upper lip joushin 2  
上噛合わせ 	うわかみあわせ	 overbite
上回る 	うわまわる	 to exceed
上場株 	じょうじょうかぶ	 listed stock
上塗 	うわぬり	 last plaster coat, last painting, finish
上天 	じょうてん	 heaven, God, Providence, the Supreme Being, the Absolute
上天気 	じょうてんき	 fair weather
上奏 	じょうそう	 report to the throne jousou 2  
上奏文 	じょうそうぶん	 report to the throne
上女中 	かみじょちゅう	 head servant
上客 	じょうきゃく	 guest of honor, good customer joukyaku 2  
上宿 	じょうやど	 first-class inn
上屋 	うわや	 a shed
上屋敷 	かみやしき	 a daimyo's main Tokyo mansion
上層土 	じょうそうど	 topsoil
上層建築 	じょうそうけんちく	 superstructure, upper stories
上層気流 	じょうそうきりゅう	 upper air currents
上層階 	じょうそうかい	 upper floor (of a building)
上層階級 	じょうそうかいきゅう	 upper classes, high society
上層雲 	じょうそううん	 upper clouds
上層風 	じょうそうふう	 winds aloft
上履 	うわばき	 hallway slippers
上巻 	じょうかん	 volume one joukan 2  
上帝 	じょうてい	 Shangti, God, Lord, Creator, the Supreme Being joutei 2  
上席 	じょうせき	 seniority, precedence, upper seat jouseki 2  
上帯 	うわおび	 outer sash
上座 	じょうざ	 chief seat, seat of honor
上座 	かみざ	 chief seat, seat of honor
上弦 	じょうげん	 1st quarter of moon, crescent moon jougen 2  
上張り 	うわばり	 face, coat, veneer uwabari 2  
上役 	うわやく	 superior, senior
上御一人 	かみごいちにん	 the emperor
上戸 	じょうご	 heavy drinker, drinker's habits jougo 2  
上手 	じょうず	 skill, skillful (an), dexterity jouzu 2  
上手 	うわて	 upper part, upper stream, left side (of a stage)
上手 	かみて	 upper part, upper stream, left side (of a stage)
上手者 	じょうずもの	 flatterer
上掛け水車 	うわがけすいしゃ	 overshot water wheel
上掲 	じょうけい	 the above-mentioned (an) joukei 2  
上擦る 	うわずる	 to be or get excited, to sound shallow, to sound hollow (a voice), to ring FALSE (a voice), to sound shrill and nervous (a voice), to be high-pitched and unstrung (a voice)
上敷き 	うわじき	 bordered matting
上敷き 	うわしき	 bordered matting
上文 	じょうぶん	 the foregoing joubun 2  
上方 	じょうほう	 upper region or part jouhou 2  
上方贅六 	かみがたぜいろく	 people of the Kyoto area
上旬 	じょうじゅん	 first 10 days of month
上昇 	じょうしょう	 rising (vs), ascending, climbing
上昇気流 	じょうしょうきりゅう	 ascending air current
上昇線 	じょうしょうせん	 rising curve
上昇限度 	じょうしょうげんど	 ceiling (in aviation)
上映 	じょうえい	 screen projection
上景気 	じょうけいき	 boom, prosperity
上智 	じょうち	 Sophia (University), supreme wisdom
上智大学 	じょうちだいがく	 Sophia University (in Tokyo)
上書 	じょうしょ	 memorial to the throne jousho 2  
上書き 	うわがき	 address, superscription
上服 	うわふく	 outer garment
上枯れる 	うわがれる	 to die at the top
上梓 	じょうし	 publication, wood-block printing joushi 2  
上棟 	じょうとう	 raising the ridgepole joutou 2  
上棟式 	じょうとうしき	 ridgepole-raising ceremony
上様 	うえざま	 emperor, shogun, honored person
上様 	うえさま	 emperor, shogun, honored person
上機嫌 	じょうきげん	 good humor
上欄 	じょうらん	 top or preceding horizontal column jouran 2  
上歯 	うわば	 upper teeth
上段 	じょうだん	 dais, raised part of floor, place of honor, upper tier (row, step, grade, column of print, berth) joudan 2  
上気 	じょうき	 dizziness, rush of blood to the head jouki 2  
上水 	じょうすい	 water supply, tap water jousui 2  
上水道 	じょうすいどう	 waterworks
上汲む 	うわぐむ	 to draw off the top liquid
上洛 	じょうらく	 proceeding to the capital
上流 	じょうりゅう	 upper stream, upper classes jouryuu 2  
上流社会 	じょうりゅうしゃかい	 upper classes
上海 	しゃんはい	 Shanghai (China)
上滑り 	うわすべり	 superficial, careless, inattentive
上演 	じょうえん	 performance (vs) (e.g. music)
上澄み 	うわずみ	 the clear top of a liquid
上物 	じょうもの	 quality goods
上玉 	じょうだま	 fine jewel, best article, pretty woman
上田 	じょうでん	 high rice field, very fertile rice field
上甲板 	じょうかんぱん	 upper deck
上申書 	じょうしんしょ	 written report
上界 	じょうかい	 upper world, heaven
上略 	じょうりゃく	 first paragraphs omitted
上番 	じょうばん	 being on duty
上疏 	じょうそ	 reporting to the emperor (vs) jouso 2  
上白 	じょうはく	 first-class rice jouhaku 2  
上皮 	じょうひ	 epithelium, rind, skin, cuticle, epidermis jouhi 2  
上盛り 	うわもり	 adding to the top, what's placed on the top
上目 	うわめ	 upward glance, upturned eyes
上瞼 	うわまぶた	 upper eyelid
上石 	うわいし	 upper millstone
上積み 	うわづみ	 deck cargo, upper layer of goods
上空 	じょうくう	 sky, the skies, high-altitude sky, upper air
上端 	じょうたん	 top, tip
上等兵 	じょうとうへい	 private first class
上等兵曹 	じょうとうへいそう	 chief petty officer
上等品 	じょうとうひん	 first-class article
上筵 	うわむしろ	 thin padded mat laid on the tatami uwamushiro 2  
上箱 	うわばこ	 outer box, outer casing
上米 	じょうまい	 first-class rice
上納 	じょうのう	 payment to the government
上納米 	じょうのうまい	 rice-tax delivery
上納金 	じょうのうきん	 money paid to the government
上紐 	うわひも	 outside string (on a package)
上紙 	うわがみ	 paper cover, wrapper, wrapping paper
上級 	じょうきゅう	 advanced level, high grade, senior
上級副社長 	じょうきゅうふくしゃちょう	 senior vice president
上級曹長 	じょうきゅうそうちょう	 sergeant major
上級生 	じょうきゅうせい	 upper classman
上級管理職 	じょうきゅうかんりしょく	 upper management
上絵 	うわえ	 printed figures (on cloth or pottery)
上翼 	じょうよく	 upper wing of a plane jouyoku 2  
上背 	うわぜい	 stature, height
上腕 	じょうわん	 upper arm
上臈 	じょうろう	 court lady, noblewoman
上臼 	うわうす	 upper millstone
上草履 	うわぞうり	 indoor sandals, slippers
上荷 	うわに	 top cargo, top of the load
上菓子 	じょうがし	 quality cakes
上蔟 	じょうぞく	 spinning of cocoons, the silkworm's last sleep
上衣 	うわぎ	 coat, tunic, jacket, outer garment uwagi 2  
上表 	じょうひょう	 memorial to the emperor
上表紙 	うわびょうし	 cover, front cover, wrapper, jacket
上裁 	じょうさい	 imperial decision
上製本 	じょうせいぼん	 best binding
上覆 	うわおおい	 cover, covering
上記のことから 	じょうきのことから	 given the above
上調子 	うわちょうし	 high pitch, higher tone
上諭 	じょうゆ	 imperial edict
上議 	じょうぎ	 placing on the agenda (vs) jougi 2  
上質 	じょうしつ	 fine quality
上越 	じょうえつ	 area on Japan Sea side of Japan, including Niigata
上足 	じょうそく	 high retainer
上辺 	じょうへん	 the upper side jouhen 2  
上辺 	うわべ	 seeming, exterior, surface, outside, outward appearance
上述 	じょうじゅつ	 above mentioned
上達 	じょうたつ	 improvement (vs), advance, progress
上部 	じょうぶ	 top part, surface joubu 2  
上部構造 	じょうぶこうぞう	 superstructure
上酒 	じょうしゅ	 high-class sake joushu 2  
上長 	じょうちょう	 one's superior, a senior, an elder jouchou 2  
上院 	じょういん	 Upper House, Senate, Lords jouin 2  
上院議員 	じょういんぎいん	 senator, member of the upper house
上陸 	じょうりく	 landing (vs), disembarkation
上陸用舟艇 	じょうりくようしゅうてい	 landing craft
上面 	じょうめん	 surface, top, exterior
上面 	うわつら	 surface, appearances
上靴 	うわぐつ	 overshoes, rubbers, galoshes
上顎 	うわあご	 upper jaw, palate
上顎 	じょうがく	 upper jaw, palate
上首尾 	じょうしゅび	 success, happy result
上馬 	じょうば	 excellent horse jouba 2  
上鶲 	じょうびたき	 Daurian redstart (said by Japanese to be stupid because it is unafraid of people and so easy to catch)
下 	した	 under, below, beneath shita 2  
下々 	しもじも	 the lower classes, the common people shimojimo 2  
下々 	したじた	 the lower classes, the common people shitajita 2  
下がり松 	さがりまつ	 drooping pine
下がる 	さがる	 to hang down, to abate, to retire, to fall, to step back
下げる 	さげる	 to hang, to lower, to move back, to wear, to dismiss, to grant sageru 2  
下げ幕 	さげまく	 drop curtain
下げ振り 	さげふり	 plummet, plumb bob
下げ札 	さげふだ	 tag, label
下げ渡す 	さげわたす	 to make a (government) grant, to release (a criminal)
下げ潮 	さげしお	 ebb tide
下げ相場 	さげそうば	 bearish market
下げ翼 	さげよく	 wing flap
下げ足 	さげあし	 downward trend
下げ髪 	さげがみ	 pigtail, ponytail, hair (hanging down the back)
下さい 	ください	 (with te-form verb) please do for me
下さる 	くださる	 to give (hon) (IV), to confer
下し 	くだし	 evacuation, purgation
下し薬 	くだしぐすり	 laxative
下す 	くだす	 to lower, to let go down
下っ端 	したっぱ	 underling, lower position
下っ腹 	したっぱら	 abdomen, stomach, under parts
下の句 	しものく	 the last part of a poem or Bible verse
下らない 	くだらない	 good-for-nothing, stupid, trivial, worthless
下り 	くだり	 down-train (going away from Tokyo)
下りる 	おりる	 to alight (e.g. from bus), to get off, to descend (e.g. a mountain) oriru 2  
下り上り 	おりのぼり	 going up and down
下り列車 	くだりれっしゃ	 trains going away from the capital, down train
下り坂 	くだりざか	 descent, downhill, decline, waning
下り場 	おりば	 dismounting place
下り物 	おりもの	 afterbirth, menstruation orimono 2  
下り目 	さがりめ	 eyes slanting downward, decline
下り立つ 	おりたつ	 to go down and stand
下る 	くだる	 to get down, to descend
下ろし薬 	おろしぐすり	 an abortive
下世話 	げせわ	 common saying
下乗 	げじょう	 dismounting gejou 2  
下人 	げにん	 low-rank person, menial genin 2  
下仕事 	したしごと	 spade work, subcontract
下付 	かふ	 grant (vs), issue kafu 2  
下付金 	かふきん	 subsidy
下位 	かい	 low rank, subordinate, lower order (e.g. byte) kai 2  
下位互換性 	かいごかんせい	 downward compatibility
下体 	かたい	 lower part of the body, lower limbs katai 2  
下作 	したさく	 poor manufacture, poor quality, inferior goods
下作 	げさく	 poor manufacture, poor quality, inferior goods gesaku 2  
下値 	したね	 lowest price
下側 	したがわ	 underside
下働き 	したばたらき	 subordinate work, assistant, servant
下僕 	げぼく	 servant, your humble servant
下僚 	かりょう	 subordinates, petty officials karyou 2  
下僧 	げそう	 low-rank priest
下克上 	げこくじょう	 retainer supplanting his lord, juniors dominating seniors gekokujou 2  
下刈り 	したがり	 weeding
下刷り 	したずり	 proof printing shitazuri 2  
下剃り 	したぞり	 barber's apprentice
下剤 	げざい	 laxative
下劣 	げれつ	 base (an), mean, vulgar
下半 	かはん	 lower half kahan 2  
下半期 	かはんき	 the last half-year
下半期 	しもはんき	 last half-year
下半身 	かはんしん	 lower half of body
下半身 	しもはんしん	 lower half of the body
下卑 	げび	 vulgar, coarse
下卑る 	げびる	 to become vulgar, to coarsen
下協議 	したきょうぎ	 preliminary conference
下取り 	したどり	 trade in, part exchange
下句 	げく	 the last part of a poem or Bible verse
下台所 	しもだいどころ	 servants' kitchen
下司 	げす	 menial, churl, petty official gesu 2  
下司ばる 	げすばる	 to be churlish, to be vulgar
下名 	かめい	 undermentioned, undersigned kamei 2  
下吏 	かり	 lower official kari 2  
下向 	げこう	 leaving the capital (vs) gekou 2  
下向き 	したむき	 downward look, business decline
下品 	げひん	 vulgarity (an), meanness, indecency, coarseness
下品 	かひん	 inferior article kahin 2  
下唇 	かしん	 lower lip kashin 2  
下唇 	したくちびる	 lower lip
下四半期 	しもしはんき	 last quarter (of the year)
下回り 	したまわり	 subordinate part, menial service, subordinate, utility man
下回る 	したまわる	 to be less than, to be lower than
下図 	かず	 lower illustration kazu 2  
下図 	したず	 rough sketch
下国 	げこく	 leaving for the provinces (vs)
下地 	したじ	 groundwork, foundation, inclination, aptitude, elementary knowledge of, grounding in, prearrangement, spadework, signs, symptoms, first coat of plastering, soy
下坂 	しもさか	 downhill, decline, waning
下垂 	かすい	 drooping, hanging down kasui 2  
下塗り 	したぬり	 undercoat, first coating
下士 	かし	 noncommissioned officer kashi 2  
下士官 	かしかん	 non-commissioned officer
下士官兵 	かしかんへい	 enlisted man
下女 	げじょ	 maid servant
下女下男 	げじょげなん	 servants
下女中 	しもじょちゅう	 kitchen maid
下姓 	げしょう	 person of humble birth
下婢 	かひ	 servant girl kahi 2  
下家 	したや	 small attached annex
下宿 	げしゅく	 boarding (vs), lodging, boarding house
下宿人 	げしゅくにん	 lodger, roomer
下宿屋 	げしゅくや	 lodging house
下宿料 	げしゅくりょう	 board-and-room charge
下屋敷 	しもやしき	 villa, daimyo's suburban residence
下層 	かそう	 lower strata (classes) kasou 2  
下層土 	かそうど	 subsoil
下層社会 	かそうしゃかい	 the underworld, lower ranks of society
下層階級 	かそうかいきゅう	 proletariat, lower classes
下山 	げざん	 descending (mountain) (vs)
下山 	げさん	 descent from the mountain
下巻 	げかん	 last volume (in set) gekan 2  
下帯 	したおび	 loincloth, waist cloth
下座 	げざ	 squatting
下座 	しもざ	 lower seat
下弦 	かげん	 (moon's) last quarter kagen 2  
下弦の月 	かげんのつき	 waning moon
下張り 	したばり	 undercoat, first coat shitabari 2  
下役 	したやく	 underling, subordinate official
下御 	げぎょ	 dismounting (pol) (vs)
下心 	したごころ	 secret intention, motive
下戸 	げこ	 non-drinker, temperate man
下手 	したて	 the foot, humble position shitate 2  
下手 	しもて	 lower direction, the foot, humble position
下手 	したで	 lower part, lower part, left part of the stage
下手の横好き 	へたのよこずき	 being crazy about something but being very bad at it
下手人 	げしゅにん	 offender, criminal
下手物 	げてもの	 low-quality products, strange thing, strange combination
下手糞 	へたくそ	 extreme clumsiness
下押す 	したおす	 to decline (stock market)
下拵え 	したごしらえ	 preliminary arrangements, preparation, spadework
下掛かる 	しもがかる	 to talk about indecent things
下放 	かほう	 (stock market) slump kahou 2  
下放れ 	したばなれ	 (stock market) slump
下敷き 	したじき	 desk pad, mat, something lying underneath, pinned under, crushed beneath
下方に 	かほうに	 below
下旬 	げじゅん	 month (last third of)
下書 	げしょ	 rough copy, draft
下書き 	したがき	 rough copy, draft
下期 	しもき	 second half of the fiscal year
下検分 	したけんぶん	 preliminary examination
下検査 	したけんさ	 preliminary inspection
下様 	しもざま	 lower classes, common people
下歯 	したば	 lower teeth shitaba 2  
下段 	かだん	 lower (horizontal) column (of print) kadan 2  
下段 	げだん	 lowest tier (step, column of print, berth)
下殿 	げでん	 leaving the palace geden 2  
下民 	げみん	 the masses, the lower classes, the common people
下民 	かみん	 the masses, the lower classes, the common people kamin 2  
下水 	げすい	 drainage, sewage, ditch, gutter, sewerage
下水板 	げすいいた	 wooden sewer covers
下水溝 	げすいこう	 drainage ditch, canal
下水管 	げすいかん	 sewer pipe
下水道 	げすいどう	 drain, sewer, drainage system
下流社会 	かりゅうしゃかい	 lower classes
下渋り 	したしぶり	 (stock market) steadiness
下湯 	しもゆ	 sitz bath
下準備 	したじゅんび	 preliminary arrangements, spade work
下火 	したび	 burning low, waning, declining
下火になる 	したびになる	 to be under control, to burn down, to decline, to drop, to wane
下熱 	げねつ	 lowering fever genetsu 2  
下物 	かぶつ	 drinking feast
下獄 	げごく	 being sent to prison (vs)
下生え 	したばえ	 underbrush, undergrowth
下男 	げなん	 manservant genan 2  
下町 	したまち	 Shitamachi, lower parts of town
下町風 	したまちふう	 downtown style
下界 	げかい	 this world, the earth, hades, the nether world gekai 2  
下略 	げりゃく	 the rest omitted (in quotes)
下番 	かばん	 going off duty kaban 2  
下痢 	げり	 diarrhoea
下目 	しため	 downward glance, contemptuous look
下相談 	したそうだん	 preliminary consultation, arrangements
下着 	したぎ	 underwear
下瞰 	かかん	 looking down on (vs), getting a bird's eye view kakan 2  
下瞼 	したまぶた	 lower eyelid
下知 	げち	 command, order
下知 	げぢ	 command, order
下石 	したいし	 nether millstone
下種女 	げすおんな	 woman of low rank, term of degradation for a woman
下種根性 	げすこんじょう	 mean feelings
下稽古 	したげいこ	 rehearsal, preparation
下積み 	したづみ	 lowest social strata, goods piled beneath
下穴 	したあな	 pilot hole, rough hole
下穿 	したばき	 undershorts, underpants shitabaki 2  
下端 	かたん	 lower end katan 2  
下等 	かとう	 inferior (an), base, vulgar, low grade, lower class katou 2  
下等動物 	かとうどうぶつ	 lower animals
下等植物 	かとうしょくぶつ	 lower plants
下糸入れ 	したいといれ	 shuttle
下紐 	したひも	 undersash, belt
下級 	かきゅう	 lower grade, low class, junior (officer) kakyuu 2  
下級審 	かきゅうしん	 lower court
下級生 	かきゅうせい	 underclassmen
下級職 	かきゅうしょく	 subordinate post
下絵 	したえ	 rough sketch, cartoon, design
下緒 	さげお	 sword knot
下線 	かせん	 underline, underscore kasen 2  
下線部 	かせんぶ	 underlined part
下縫い 	したぬい	 basting, temporary sewing
下聞 	かぶん	 enquiring beforehand kabun 2  
下聞き 	したぎき	 enquiring beforehand
下職 	したしょく	 subcontractor
下肥 	しもごえ	 manure, night soil
下脚 	かきゃく	 legs, lower limbs kakyaku 2  
下脹れ 	しもぶくれ	 abdominal swelling, fat face shimobukure 2  
下腹 	かふく	 abdomen, stomach, lower parts kafuku 2  
下腹 	したばら	 abdomen, stomach, under parts
下腹 	くだりばら	 diarrhoea
下腹 	したはら	 abdomen, stomach, lower parts
下腹部 	かふくぶ	 abdomen
下船 	げせん	 going ashore (vs) gesen 2  
下草 	したくさ	 undergrowth, weeds beneath a tree
下萠 	したもえ	 sprouts (oK), shoots
下落 	げらく	 depreciation, decline, fall, slump
下葉 	かよう	 lower leaves kayou 2  
下薬 	げやく	 laxative
下血 	げけつ	 bloody bowel discharge
下表 	かひょう	 diagram below kahyou 2  
下表参照 	かひょうさんしょう	 (see the) following table(s)
下見 	したみ	 preview, preliminary inspection, siding (on a house)
下見板 	したみいた	 siding (on a house)
下読み 	したよみ	 rehearsal (of play), preparatory reading, lesson study
下調べ 	したしらべ	 preliminary investigation, preparation
下請 	したうけ	 subcontract shitauke 2  
下請け業者 	したうけぎょうしゃ	 subcontractor
下請会社 	したうけがいしゃ	 contract company
下請負 	したうけおい	 subcontract
下足 	げそく	 footgear, footwear
下足料 	げそくりょう	 footwear-checking charge
下足番 	げそくばん	 doorman in charge of footwear
下車 	げしゃ	 alighting (vs)
下輩 	かはい	 inferior, low-class person kahai 2  
下輩 	げはい	 inferior, low-class person
下道 	したみち	 down-town, the lower town
下達 	かたつ	 commanding a subordinate (vs)
下郎 	げろう	 servant, valet, menial
下部機関 	かぶきかん	 subordinate offices or institutions
下野 	げや	 retirement from public office
下金 	したがね	 basic metal (in an art object), old metal
下阪 	げはん	 proceeding from Tokyo to Osaka
下降線 	かこうせん	 downward curve
下院 	かいん	 Lower House, lower (legislative) body kain 2  
下院議 	かいんぎ	 lower house (of Parliament, etc.)
下院議員 	かいんぎいん	 member of the lower house, commoner
下院議長 	かいんぎちょう	 Speaker of the House (US)
下露 	したつゆ	 dew under (dripping from) trees
下顎 	かがく	 lower jaw kagaku 2  
下風 	かふう	 subordinate position, lower position kafuu 2  
下馬 	げば	 dismounting (vs)
下馬先 	げばさき	 dismounting place
下馬評 	げばひょう	 rumor, gossip, speculation, irresponsible criticism, hearsay
下馴し 	したならし	 training
下駄 	げた	 geta (Japanese footwear), wooden clogs
下駄を預ける 	げたをあずける	 to leave everything to (someone)
下駄屋 	げたや	 clog shop
下駄履き 	げたばき	 wearing wooden clogs
下駄掛け 	げたがけ	 wearing wooden clogs
下駄番 	げたばん	 toe guards on clogs, footwear doorman
下駄直し 	げたなおし	 repairing clogs, clog repairer
下駄箱 	げたばこ	 shoe rack (in genkan), cupboard (for shoes and clogs)
不一 	ふいつ	 Very sincerely yours fuitsu 2  
不一致 	ふいっち	 discrepancy, discord, disagreement, dissonance
不世出 	ふせいしゅつ	 rare, extraordinary, unparalleled
不予 	ふよ	 indisposition, emperor's illness, unhappiness fuyo 2  
不人情 	ふにんじょう	 unkindness, inhumanity, heartlessness
不人気 	ふにんき	 unpopularity
不仁 	ふじん	 heartlessness, inhumanity fujin 2  
不介入 	ふかいにゅう	 noninvolvement, nonintervention, neutrality
不仕末 	ふしまつ	 mismanagement, malpractice, wastefulness, carelessness, misconduct, unthriftiness fushimatsu 2  
不仲 	ふなか	 discord
不似合い 	ふにあい	 unbecoming, improper, unsuitable, ill-matched, unworthy of
不体裁 	ふていさい	 bad form or manners, indecency, impropriety
不作 	ふさく	 poor crop, crop failure
不作法 	ぶさほう	 bad manners, discourtesy busahou 2  
不使用 	ふしよう	 disuse
不例 	ふれい	 indisposition, sickness
不侵略 	ふしんりゃく	 nonaggression
不便 	ふべん	 inconvenience, inexpediency, unhandiness
不信 	ふしん	 unfaithfulness, insincerity, perfidy, mistrust, distrust, discredit fushin 2  
不信仰 	ふしんこう	 lack of faith, unbelief, impiety, infidelity
不信任 	ふしんにん	 nonconfidence
不信任投票 	ふしんにんとうひょう	 nonconfidence vote
不信任案 	ふしんにんあん	 no-confidence motion
不信実 	ふしんじつ	 insincerity, unfaithfulness
不信心 	ふしんじん	 impiety, unbelief, infidelity
不信用 	ふしんよう	 distrust, discredit
不信義 	ふしんぎ	 faithlessness, insincerity
不信者 	ふしんじゃ	 unbeliever
不倒翁 	おきあがりこぼし	 tumbler, self-righting toy
不倫 	ふりん	 adultery, immorality, impropriety
不倫罪 	ふりんざい	 (crime of) adultery
不倶戴天 	ふぐたいてん	 cannot allow (oneself) to live (with someone) under the canopy of heaven, cannot allow (the sworn enemy) to live in this world, irreconcilable (enemy)
不偏 	ふへん	 impartiality, neutrality, fairness (an) fuhen 2  
不偏不党 	ふへんふとう	 impartiality, neutrality, independence (a-no)
不健全 	ふけんぜん	 morbid, unhealthful
不健康 	ふけんこう	 poor health, ill health, unhealthy (an)
不側不離 	ふそくふり	 close relationship fusokufuri 2  
不備 	ふび	 defect, deficiency, imperfection, inadequacy, Yours in haste
不充分 	ふじゅうぶん	 insufficiency, shortage, imperfection, inadequacy fujuubun 2  
不党 	ふとう	 nonparticipation futou 2  
不入り 	ふいり	 small attendance, poor house
不公平 	ふこうへい	 unfairness, injustice, partiality
不公平競争 	ふこうへいきょうそう	 unfair competition
不公正 	ふこうせい	 injustice, unfairness
不具 	かたわ	 deformity, distortion, disability, cripple katawa 2  
不具合 	ふぐあい	 inconvenient
不具者 	ふぐしゃ	 cripple, disabled person
不凍剤 	ふとうざい	 antifreeze
不凍海 	ふとうかい	 ice-free sea
不凍液 	ふとうえき	 antifreeze
不凍港 	ふとうこう	 ice-free port
不凡 	ふぼん	 uncommon, outstanding
不出来 	ふでき	 bad job, poor workmanship, bungle
不分割 	ふぶんかつ	 indivisibility
不利益 	ふりえき	 disadvantage, handicap, drawback, inadvisability, inexpediency
不労 	ふろう	 unearned furou 2  
不労所得 	ふろうしょとく	 unearned income
不勉強 	ふべんきょう	 idleness, lack of application, lazy study habits
不動 	ふどう	 immobility, firmness, fixed, steadfastness, motionless, idle fudou 2  
不動心 	ふどうしん	 imperturbability
不動明王 	ふどうみょうおう	 Acala, Acalanatha Vidya-raja, The Immovable, a manifestation of Mahavairocana (Buddhist deity)
不動産 	ふどうさん	 real estate
不動産屋 	ふどうさんや	 real estate agent, realtor
不動産業者 	ふどうさんぎょうしゃ	 real estate agent, realtor
不勝手 	ふかって	 inconvenience, hard living
不勢 	ぶぜい	 few, numerical inferiority
不印 	ふじるし	 poor results
不参 	ふさん	 absence, nonattendance, nonappearance
不参加 	ふさんか	 abstention, nonparticipation
不可 	ふか	 wrong, bad, improper, unjustifiable, inadvisable fuka 2  
不可侵 	ふかしん	 inviolability, sacredness, nonaggression
不可侵条約 	ふかしんじょうやく	 non-aggression pact, non-aggression treaty
不可入性 	ふかにゅうせい	 impenetrability
不可分 	ふかぶん	 atomic, indivisibility
不可思議 	ふかしぎ	 mystery, wonder, miracle
不可抗力 	ふかこうりょく	 act of God, irresistible force, inevitability
不可欠 	ふかけつ	 indispensable (an), essential
不可知 	ふかち	 unknowable (an), mysterious
不可知的 	ふかちてき	 agnostic
不可知論 	ふかちろん	 agnosticism
不可能 	ふかのう	 impossible
不可能選択 	ふかのうせんたく	 unavailable choice
不可視 	ふかし	 invisibility (a-no)
不可視光線 	ふかしこうせん	 invisible ray
不可解 	ふかかい	 mystery, baffling, inexplicable, incomprehensible
不可誤 	ふかご	 (papal) infallibility
不可逆 	ふかぎゃく	 irreversible
不可避 	ふかひ	 inevitable, inescapable, unavoidable
不合格 	ふごうかく	 (examination) failure, rejection, disqualification
不合理 	ふごうり	 unreasonable (an), irrational, absurd, inconsistent
不吉 	ふきつ	 ominous (an), sinister, bad luck, ill omen, inauspiciousness
不同化 	ふどうか	 nonassimilation
不同意 	ふどうい	 disagreement, objection
不名数 	ふめいすう	 abstract number
不名誉 	ふめいよ	 dishonor, disgrace, shame
不向き 	ふむき	 unfit (an), unsuitable, unmarketable
不味 	ふみ	 distaste, unsavoriness fumi 2  
不味い 	まずい	 (uk) unappetising, unpleasant (taste, appearance, situation), ugly, unskilful, awkward, bungling, unwise, untimely
不和 	ふわ	 friction, discord, trouble, dissension, disagreement fuwa 2  
不品行 	ふひんこう	 unchastity, misconduct, dissipation, fornication
不問 	ふもん	 ignorance
不問に付す 	ふもんにふす	 to ignore, to disregard, to overlook, to connive at
不善 	ふぜん	 evil, sin, vice, mischief fuzen 2  
不善感 	ふぜんかん	 negative reaction, unsuccessful vaccination
不嗜 	ぶたしなみ	 poor preparation
不器 	ふき	 clumsiness, unskillfulness fuki 2  
不器用 	ぶきよう	 awkward (an), clumsy, unskillfulness, lack of ability bukiyou 2  
不器用者 	ぶきようもの	 bungler
不器用者 	ぶきようしゃ	 bungler
不器量 	ぶきりょう	 ugliness, homeliness, incompetence bukiryou 2  
不器量 	ふきりょう	 ugliness, homeliness, lack of ability, incompetence fukiryou 2  
不図 	ふと	 suddenly, casually, accidentally, incidentally, unexpectedly, unintentionally
不在 	ふざい	 absence
不在地主 	ふざいじぬし	 absentee landlord
不在投票 	ふざいとうひょう	 absentee voting
不在証明 	ふざいしょうめい	 alibi
不均斉 	ふきんせい	 asymmetry
不均等 	ふきんとう	 out of balance, imbalance, disparity, inequality
