嗚呼	ああ	Ah!, Oh!, Alas!		[sound:SPXJ00001.mp3]
長官	ちょうかん	chief, (government) secretary	【名】  长官; 机关首长	[sound:SPXJ47334.mp3]
聴講	ちょうこう	lecture attendance, auditing	【名】  【他サ】  听讲; 旁听	[sound:SPXJ47370.mp3]
徴収	ちょうしゅう	collection, levy	【名】  【他サ】  征收	[sound:SPXJ47423.mp3]
聴診器	ちょうしんき	stethoscope	【名】  听诊器	[sound:SPXJ47452.mp3]
挑戦	ちょうせん	challenge, defiance	【名】  【自サ】  挑战	[sound:SPXJ47487.mp3]
長大	ちょうだい	very long, great length	【名】  【形動】  长大; 长高	[sound:SPXJ47513.mp3]
調停	ちょうてい	arbitration, conciliation, mediation	【名】  【他サ】  调停	[sound:SPXJ47547.mp3]
恰度	ちょうど	just, right, exactly		
長編	ちょうへん	long (e.g. novel film)	【名】  长篇	[sound:SPXJ47598.mp3]
丁目	ちょうめ	district of a town, city block (of irregular size)	【接尾】  (街巷区划单位)段; 巷; 条	
調理	ちょうり	cooking	【名】  【他サ】  烹调; 做(菜); 调理; 管理	[sound:SPXJ47640.mp3]
調和	ちょうわ	harmony	【名】  【自サ】  调和; (颜色)配合; (声音)和谐; (关系)协调	[sound:SPXJ47661.mp3]
ちょくちょく	ちょくちょく	often, frequently, now and then, occasionally	【副】  时常; 往往(同ちょいちょい)	[sound:SPXJ47717.mp3]
直面	ちょくめん	confrontation	【名】  【自サ】  面临; 面对	[sound:SPXJ47727.mp3]
著書	ちょしょ	literary work, book	【名】  著作; 著书	[sound:SPXJ47775.mp3]
貯蓄	ちょちく	savings	【名】  【他サ】  储蓄	[sound:SPXJ47785.mp3]
直感	ちょっかん	intuition	【名】  【他サ】  直觉; 直感	[sound:SPXJ47797.mp3]
一寸	ちょっと	(ateji) (adv int) (uk) just a minute, a short time, a while, just a little, somewhat, easily, readily, rath		[sound:SPXJ04333.mp3]
著名	ちょめい	well-known, noted, celebrated	【名】  【形動】  著名; 有名	[sound:SPXJ47819.mp3]
ちらっと	ちらっと	at a glance, by accident	【副】  一闪; 一晃(同ちらりと); 隐约; 断断续续	[sound:SPXJ47844.mp3]
塵取り	ちりとり	dustpan	【名】  土簸箕	[sound:SPXJ47870.mp3]
治療	ちりょう	medical treatment	【名】  【他サ】  治疗; 医治	[sound:SPXJ47885.mp3]
賃金	ちんぎん	wages	【名】  工资; 薪水	[sound:SPXJ47919.mp3]
沈殿	ちんでん	precipitation, settlement	【名】  【自サ】  沉淀	[sound:SPXJ47969.mp3]
沈没	ちんぼつ	sinking, foundering	【名】  【自サ】  沉没; 醉得不省人事; 出门办事中途到咖啡馆等处玩(到妓院冶游)	[sound:SPXJ47991.mp3]
沈黙	ちんもく	silence, reticence	【名】  缄默; 寂静	[sound:SPXJ47999.mp3]
陳列	ちんれつ	exhibition, display, show	【名】  【他サ】  陈列	[sound:SPXJ48004.mp3]
追及	ついきゅう	gaining on, carrying out, solving (crime)	【名】  【他サ】  追及; 追上; 赶上; 追溯	[sound:SPXJ48040.mp3]
追跡	ついせき	pursuit	【名】  【他サ】  追踪; 跟踪追赶(同あとをおいかける)	[sound:SPXJ48060.mp3]
次いで	ついで	next, secondly, subsequently	【接】  接着; 随后	[sound:SPXJ48078.mp3]
追放	ついほう	exile, banishment	【名】  【他サ】  放逐; 驱逐(出境); 肃清; 洗刷; 开除; 革职	[sound:SPXJ48097.mp3]
費やす	ついやす	to spend, to devote, to waste	【他五】  花费; 耗费; 浪费; 白费(同むだに使う)	[sound:SPXJ48099.mp3]
墜落	ついらく	falling, crashing	【名】  【自サ】  坠落; 掉下	[sound:SPXJ48101.mp3]
通	つう	connoisseur, counter for letters	【名】  【形動】  精通; 内行; 专家; 通晓人情事故; 神通广大; 畅通  【接尾】  (计算文件, 书件等的助数词)封; 件	[sound:SPXJ48104.mp3]
痛感	つうかん	feeling keenly, fully realizing	【名】  【他サ】  痛感	[sound:SPXJ48123.mp3]
通常	つうじょう	common, general, usually	【名】  通常; 平常; 普通	[sound:SPXJ48153.mp3]
痛切	つうせつ	keen, acute	【名】  【形動】  深切; 迫切	[sound:SPXJ48175.mp3]
杖	つえ	cane	【名】  手杖; 拐杖; 依靠; 靠山	[sound:SPXJ48231.mp3]
遣い	つかい	mission, simple task, doing	【名】  ("つかう"的名词形)使用; 打发去的人; 派去的人; (在某些名词下)使用的方法; 使用的人	
使い道	つかいみち	use		
仕える	つかえる	to serve, to work for	【自下一】  (对长辈, 上司)服侍; 侍奉; 做官; 当官	[sound:SPXJ48276.mp3]
司る	つかさどる	to rule, to govern, to administer	【他五】  掌管; 管理; 主持(同担当する; 支配する)	[sound:SPXJ48282.mp3]
束の間	つかのま	moment, brief time, brief, transient	【名】  一刹那; 转眼之间	
付き	つき	attached to, impression, sociality, appearance, furnished with, under, to	【名】  附着; 黏; (火)着; 燃烧; 配合; 调和; 人缘; 风采; 相貌	[sound:SPXJ48332.mp3]
付き合う	つきあう	to associate with, to keep company with, to get on with	【自五】  交际; 交往; 打交道; 陪伴; 作陪	[sound:SPXJ48342.mp3]
月並み	つきなみ	every month, common		[sound:SPXJ48420.mp3]
尽きる	つきる	to be used up, to be run out, to be exhausted, to be consumed, to come to an end	【自上一】  罄尽; 完(同なくなる); 到头; 结束(同終わる)	[sound:SPXJ48477.mp3]
継ぎ目	つぎめ	a joint, joining point	【名】  接头; 接口; (家业的)继承人(同あとつぎ)	[sound:SPXJ48462.mp3]
吐く	つく	1. to breathe, 2. to tell (lies), 3. to vomit, to disgorge	【他五】  吐出; 说出; 吐露; 冒出; 喷出	[sound:SPXJ59391.mp3]
尽くす	つくす	to exhaust, to run out, to serve (a person), to befriend	【他五】  竭力; 尽力; 为...尽力; 效力	[sound:SPXJ48508.mp3]
作り	つくり	make-up, sliced raw fish	【名】  ("つくる"的名词形)(建筑物)的构造; 制造(的样式); 身材; 体格(同からだつき); 化妆; 打扮(同けしょう); 农作物; 假装; 装做	[sound:SPXJ48526.mp3]
造り	つくり	make up, structure, physique	【名】  ("つくる"的名词形)(建筑物)的构造; 制造(的样式); 身材; 体格(同からだつき); 化妆; 打扮(同けしょう); 农作物; 假装; 装做	[sound:SPXJ48527.mp3]
造る	つくる	to make, to create, to manufacture, to draw up, to write, to compose, to build, to coin, to cultivate, to org	【他五】  做; 造; 制造(同こしらえる; 製造する); 创造; 写; 做(诗歌, 文章等); 建造; 铸造; 形成; 组成; 耕种; 栽培; 培养; 培育; 生育(同産む); 化妆; 打扮(同化粧する); 修饰; 修整(同つくろう); 假装; 虚构(同よそおう); 做(饭, 菜等)(同料理する); 赚得, 挣下(同ふやす); 装载; 打分数; 命名; (接其他动词连用形)表惯熟; (接其他动词接连用形)表示加强语气	[sound:SPXJ48566.mp3]
繕う	つくろう	to mend, to repair, to fix, to patch up, to darn, to tidy up, to adjust, to trim	【他五】  修理; 修缮; 整理; 修饰(同ととのえる); 敷衍	[sound:SPXJ48569.mp3]
接ぐ	つぐ	to join, to piece together, to set (bones), to graft (trees)	【他五】  接上; 连接; 连上(同つなぎあわす)	[sound:SPXJ48503.mp3]
継ぐ	つぐ	to succeed	【他五】  继承; 嗣(同継しょうする); 继续	[sound:SPXJ48502.mp3]
付け加える	つけくわえる	to add one thing to another	【他下一】  添加; 附加; 补充	[sound:SPXJ48591.mp3]
告げる	つげる	to inform	【他下一】  告诉; 告之; 报告; 宣告(同公告する); 宣讲; 演说(同教える; 説く)	[sound:SPXJ48642.mp3]
辻褄	つじつま	coherence, consistency		[sound:SPXJ48660.mp3]
途中	つちゅう	on the way, en route	【名】  【副】  途中; 中途	[sound:SPXJ53137.mp3]
突っ張る	つっぱる	to support, to become stiff, to become taut, to thrust (ones opponent), to stick to (ones opinion), to in	【他五】  顶上; 支撑; (相扑伸两臂用手掌)使劲猛推; 猛烈反驳; 坚持己见  【自五】  抽筋; 突然剧痛	[sound:SPXJ48789.mp3]
筒	つつ	pipe, tube	【名】  筒; 炮筒; 枪筒	[sound:SPXJ48738.mp3]
銃	つつ	gun	【名】  枪; 步枪	[sound:SPXJ33207.mp3]
突く	つつく	1. to thrust, to strike, to attack, 2. to poke, to nudge, to pick at	【他五】  (用指等)捅; 戳; (鸟等用嘴)啄; 欺负; 虐待; 挑拨; 唆使; 挑毛病; 吹毛求疵	[sound:SPXJ48499.mp3]
慎む	つつしむ	to be careful, to be chaste or discreet, to abstain or refrain	【他五】  谨慎; 慎重(同気を付ける); 节制; 抑制(同控え目にする); 斋戒(同物いみする)	[sound:SPXJ48774.mp3]
伝言	つてごと	verbal message, rumor, word	【名】  【自他サ】  传话; 口信; 带口信(同ことづけ)	[sound:SPXJ50736.mp3]
勤まる	つとまる	to be fit for, to be equal to, to function properly	【自五】  能担任; 胜任	[sound:SPXJ48814.mp3]
勤め先	つとめさき	place of work	【名】  工作岗位; 工作地点(单位)	[sound:SPXJ48822.mp3]
努めて	つとめて	make an effort!, work hard!	【副】  尽量; 尽可能; 竭力(同できるだけ); 努力; 特别注意(同努力して)	[sound:SPXJ48823.mp3]
津波	つなみ	tsunami, tidal wave	【名】  海啸	[sound:SPXJ48846.mp3]
抓る	つねる	to pinch		[sound:SPXJ48856.mp3]
募る	つのる	to invite, to solicit help participation etc	【自五】  (某种情况, 倾向等)越来越厉害(同ひどくなる)  【他五】  招募; 征求	[sound:SPXJ48871.mp3]
唾	つば	saliva, sputum	【名】  唾液; 唾沫	[sound:SPXJ48873.mp3]
呟く	つぶやく	to mutter, to murmur		[sound:SPXJ48900.mp3]
瞑る	つぶる	to close the eyes		[sound:SPXJ48905.mp3]
壷	つぼ	tsubo jar, pot, vase		
蕾	つぼみ	bud, flower bud		[sound:SPXJ48923.mp3]
躓く	つまずく	to stumble, to trip		[sound:SPXJ48943.mp3]
摘む	つまむ	to pinch, to hold, to pick up	【他五】  摘; 采	[sound:SPXJ49015.mp3]
詰らない	つまらない	insignificant, boring, trifling		
詰まり	つまり	in short, in brief, in other words, that is to say, in the long run, after all, blockade, stuffing, ultimate	【副】  总之; 一句话; 就是说; 也就是; 即(同すなわち)	[sound:SPXJ48970.mp3]
積もり	つもり	intention, plan	【名】  打算; 意图; 估计; 预计(同見積もり); (前面接动词过去形)就当做; 就算是	
露	つゆ	dew	【名】  露水; 短暂; 无常; 一点; 少许; 泪	[sound:SPXJ02311.mp3]
強まる	つよまる	to get strong, to gain strength	【自五】  强烈起来; 强硬起来(同強くなる)	[sound:SPXJ49118.mp3]
強める	つよめる	to strengthen, to emphasize	【他下一】  加强; 增强(同強くする)	[sound:SPXJ49122.mp3]
連なる	つらなる	to extend, to stretch out, to stand in a row	【自五】  成排; 成列; 牵连; 关连; 列席; 参加(同参列する)	[sound:SPXJ49137.mp3]
貫く	つらぬく	to go through	【他五】  穿过; 穿透; 贯彻; 坚持	[sound:SPXJ49140.mp3]
連ねる	つらねる	to link, to join, to put together	【他下一】  连成一排; 排列成行; 连接; 连上(同つなぐ); 会同; 伴同(同一緒になる)	[sound:SPXJ49141.mp3]
釣り	つり	fishing, angling	【名】  ("つる"的名词形)钓鱼; (常用"お..."形式)找的钱	[sound:SPXJ49146.mp3]
吊り革	つりかわ	strap	【名】  (电车等的)吊环; 吊带	[sound:SPXJ49159.mp3]
釣鐘	つりがね	hanging bell		
吊るす	つるす	to hang		
手当て	てあて	allowance, compensation, treatment, medical care	【名】  准备; 预备; 津贴; 生活福利; 小费(同こころづけ); (警察的)搜索  【他サ】  医疗; 治疗	[sound:SPXJ49283.mp3]
体	てい	appearance, air, condition, state, form	【名】  外表; 样子; 情况; 状态; (装作的)姿态	[sound:SPXJ14887.mp3]
提供	ていきょう	offer, tender, program sponsoring, furnishing	【名】  【他サ】  提供; 供给	[sound:SPXJ49379.mp3]
定義	ていぎ	definition	【名】  【他サ】  定义	[sound:SPXJ49361.mp3]
提携	ていけい	cooperation, tie-up, joint business, link-up	【名】  【自サ】  提携; 携手; 协作; 合作	[sound:SPXJ49390.mp3]
体裁	ていさい	decency, style, form, appearance, show, get-up, format	【名】  样子; 样式; 外形; 体面; (应有的)形势; 局面; 奉承话	[sound:SPXJ49416.mp3]
梯子	ていし	ladder, stairs	【名】  梯子	[sound:SPXJ59818.mp3]
定食	ていしょく	set meal, special (of the day)	【名】  客饭; 快餐	[sound:SPXJ49460.mp3]
提示	ていじ	presentation, exhibit, suggest, citation	【名】  提示; 出示	[sound:SPXJ49429.mp3]
訂正	ていせい	correction, revision	【名】  【他サ】  订正; 修订	[sound:SPXJ49485.mp3]
停滞	ていたい	stagnation, tie-up, congestion, retention, accumulation, falling into arrears	【名】  【自サ】  停滞; 停顿; (货物)滞销; (金融)呆滞	[sound:SPXJ49506.mp3]
邸宅	ていたく	mansion, residence	【名】  宅邸; 公馆(同やしき)	[sound:SPXJ49508.mp3]
定年	ていねん	retirement age	【名】  退休年龄	[sound:SPXJ49550.mp3]
堤防	ていぼう	bank, weir	【名】  堤; 堤防	[sound:SPXJ49565.mp3]
手遅れ	ておくれ	too late, belated treatment	【名】  为时已晚; 耽误	[sound:SPXJ49655.mp3]
手数	てかず	number of moves, trouble	【名】  手续; 麻烦; (象棋, 围棋)棋子	[sound:SPXJ49987.mp3]
手掛かり	てがかり	contact, trail, scent, on hand, hand hold, clue, key	【名】  抓头; 攀附之处; (侦察犯罪等的)线索	
手掛ける	てがける	to handle, to manage, to work with, to rear, to look after, to have experience with	【他下一】  亲自动手; 亲自做; 亲自照料	
手軽	てがる	easy, simple, informal, offhand, cheap	【名】  【形動】  简便; 轻易	[sound:SPXJ49728.mp3]
的	てき	-like, typical	【名】  的; 靶; 目标, 标的(同めあて, ねらい)	[sound:SPXJ71729.mp3]
適応	てきおう	adaptation, accommodation, conformity	【名】  【自サ】  适应; 顺应	[sound:SPXJ49746.mp3]
適宜	てきぎ	suitability	【副】  【形動】  适宜; 适当(同ほどよい); 酌情; 酌量; 随意(同しかるべく)	[sound:SPXJ49764.mp3]
適性	てきせい	aptitude	【名】  适于某人的性质(资质, 才能); 适应性	[sound:SPXJ49807.mp3]
手際	てぎわ	performance, skill, tact	【名】  【形動】  (处理事物的)手法, 技巧; 手腕; 本领; 做出的结果(同出来ばえ)	[sound:SPXJ49872.mp3]
手順	てじゅん	process, procedure, protocol	【名】  (工作的)次序; 程序(同てつづき; だんどり)	[sound:SPXJ49976.mp3]
手錠	てじょう	handcuffs, manacles	【名】  手铐	[sound:SPXJ49978.mp3]
手近	てぢか	near, handy, familiar	【名】  【形動】  手边; 眼前; 近旁; 人人皆知; 常见	[sound:SPXJ49959.mp3]
てっきり	てっきり	surely, certainly, beyond doubt	【副】  一定; 必然; 果然(同うたがいなく; きっと)	[sound:SPXJ50100.mp3]
鉄鋼	てっこう	iron and steel	【名】  钢铁(同こうてつ)	[sound:SPXJ50117.mp3]
徹する	てっする	to sink in, to penetrate, to devote oneself, to believe in, to go through, to do intently and exclusively		[sound:SPXJ50148.mp3]
鉄片	てっぺん	iron scraps		[sound:SPXJ50210.mp3]
手配	てはい	arrangement, search (by police)	【名】  【自他サ】  筹备; 安排; (警察逮捕犯人的)部署, 布置	[sound:SPXJ50301.mp3]
手筈	てはず	arrangement, plan, programme	【名】  程序; 步骤; 事前的准备	
手引き	てびき	guidance, guide, introduction	【名】  【他サ】  辅导(初学者); 启蒙; 入门; 初阶; 引荐; 介绍; 引路; 向导	[sound:SPXJ50346.mp3]
手本	てほん	model, pattern	【名】  字帖; 画帖; 模范; 榜样; 标准; 范例	[sound:SPXJ50391.mp3]
手回し	てまわし	preparations, arrangements	【名】  【他サ】  准备; 预先筹划; 用手摇动	[sound:SPXJ50428.mp3]
手元	てもと	on hand, at hand, at home	【名】  身边; 手头; 膝下; 身边(同ひざもと); 生活; 生计; (工作时)手的动作	[sound:SPXJ50468.mp3]
照り返す	てりかえす	to reflect, to throw back light	【他五】  反射; 反照	[sound:SPXJ50513.mp3]
手分け	てわけ	division of labour	【名】  【自サ】  分手做; 分头做	[sound:SPXJ50567.mp3]
店	てん	store, shop, establishment	【造語】  商店; 店铺	[sound:SPXJ72763.mp3]
点火	てんか	ignition, lighting, set fire to	【名】  【自サ】  点火	[sound:SPXJ50598.mp3]
転回	てんかい	revolution, rotation	【名】  【自他サ】  回转; 转变; 回旋; 旋转	[sound:SPXJ50611.mp3]
転換	てんかん	convert, divert	【名】  【自他サ】  转换; 转变	[sound:SPXJ50644.mp3]
転居	てんきょ	moving, changing residence	【名】  【自サ】  迁居; 搬家(同ひっこし)	[sound:SPXJ50687.mp3]
転勤	てんきん	transfer, transmission	【名】  【自サ】  转职; 转调工作	[sound:SPXJ50697.mp3]
点検	てんけん	inspection, examination, checking	【名】  【他サ】  检点; 检查	[sound:SPXJ50717.mp3]
転校	てんこう	change schools	【名】  【自サ】  转校; 转学(同てんがく)	[sound:SPXJ50726.mp3]
天国	てんごく	paradise, heaven, Kingdom of Heaven	【名】  天堂; 天国; 理想境界; 乐园	[sound:SPXJ50734.mp3]
天才	てんさい	genius, prodigy, natural gift	【名】  天才	[sound:SPXJ50740.mp3]
天災	てんさい	natural calamity, disaster	【名】  天灾; 自然灾害	[sound:SPXJ50741.mp3]
展示	てんじ	exhibition, display	【名】  【他サ】  展示; 展出; 陈列	[sound:SPXJ50757.mp3]
天井	てんじょう	ceiling, ceiling price	【名】  顶棚; 天花板; 物体内部最高处	[sound:SPXJ50823.mp3]
転じる	てんじる	to turn, to shift, to alter, to distract	【自他上一】  转变; 改变; 迁居; 调职	[sound:SPXJ50844.mp3]
点線	てんせん	dotted line, perforated line	【名】  虚点的线	[sound:SPXJ50879.mp3]
天体	てんたい	heavenly body	【名】  天体	[sound:SPXJ50895.mp3]
転転	てんてん	rolling about, moving from place to place, being passed around repeatedly	【副】  【自サ】  转来转去; 辗转; 滚转貌; 叽哩咕噜	
てんで	てんで	(not) at all, altogether, entirely	【副】  丝毫; 完全; 根本(同はじめから; まるで); 非常; 很	[sound:SPXJ50940.mp3]
転任	てんにん	change of post	【名】  【自サ】  调职; 调动工作	[sound:SPXJ50999.mp3]
展望	てんぼう	view, outlook, prospect	【名】  【他サ】  了望; 展望; 眺望	[sound:SPXJ51070.mp3]
転落	てんらく	fall, degradation, slump	【名】  【自サ】  滚下; 掉下; 堕落; 沦落; 暴跌; 突然下降	[sound:SPXJ51122.mp3]
出合う	であう	to meet by chance, to come across, to happen to encounter, to hold a rendezvous, to have a date	【自五】  遇见; 碰见; 约会; 幽会; 配合; 适称; 上去对抗; 上阵	
出入り口	でいりぐち	exit and entrance	【名】  出入口	[sound:SPXJ49586.mp3]
でかい	でかい	huge	【形】  大的(同大きい)	
出来物	できもの	able man, tumour, growth, boil, ulcer, abcess, rash, pimple	【名】  了不起的人物; 出色的人物	[sound:SPXJ49852.mp3]
出切る	できる	to be out of, to have no more at hand	【自五】  全部出去	
出くわす	でくわす	to happen to meet, to come across		[sound:SPXJ49905.mp3]
出鱈目	でたらめ	irresponsible utterance, nonsense, nonsensical, random, haphazard, unsystematic	【名】  【形動】  荒唐; 胡来; 胡扯	[sound:SPXJ50050.mp3]
出直し	でなおし	adjustment, touch up	【名】  ("でなおす"的名词形)回来再去	[sound:SPXJ50246.mp3]
田園	でんえん	country, rural districts	【名】  田地; 田园	[sound:SPXJ50595.mp3]
電源	でんげん	source of electricity, power (button on TV etc.)	【名】  电力资源; (供电的)电源	[sound:SPXJ50719.mp3]
伝説	でんせつ	tradition, legend, folklore	【名】  传说; 口传	[sound:SPXJ50878.mp3]
電線	でんせん	electric line	【名】  电线; 电缆	[sound:SPXJ50882.mp3]
伝達	でんたつ	transmission (e.g. news), communication, delivery	【名】  【他サ】  传达; 转达	[sound:SPXJ50901.mp3]
伝来	でんらい	ancestral, hereditary, imported, transmitted, handed down	【名】  【自サ】  (从外国)传来; 传入; 祖传; 世传	[sound:SPXJ51121.mp3]
と	と	1. if (conjunction), 2. promoted pawn (shogi) (abbr)	【名】  首都	[sound:SPXJ51162.mp3]
問い合わせる	といあわせる	to enquire, to seek information	【他下一】  打听; 询问; 查询	[sound:SPXJ51179.mp3]
問屋	といや	wholesale store	【名】  批发商	[sound:SPXJ51198.mp3]
問う	とう	to ask, to question, to charge (i.e. with a crime), to accuse, without regard to (neg)	【他五】  打听; 询问(同たずねる); 问候; 征询; 询问; 当作问题; 追究(责任); 问(罪)	[sound:SPXJ51203.mp3]
棟	とう	place, section, building	【名】  屋脊; 房顶; 大梁  【接尾】  (数房屋的助数词)栋; 幢	[sound:SPXJ74189.mp3]
等	とう	et cetera, etc., and the like	【造語】  相等; 等级; 顺序	[sound:SPXJ55186.mp3]
陶器	とうき	pottery, ceramics	【名】  陶器; 陶瓷器(同せともの; やきもの)	[sound:SPXJ51367.mp3]
等級	とうきゅう	grade, class	【名】  等级	[sound:SPXJ51399.mp3]
討議	とうぎ	debate, discussion	【名】  【自他サ】  讨论; 共同研讨	[sound:SPXJ51375.mp3]
登校	とうこう	attendance (at school)	【名】  【自サ】  (学生)上学, 到校	[sound:SPXJ51505.mp3]
統合	とうごう	integration, unification, synthesis	【名】  【他サ】  统一; 合并; 综合	[sound:SPXJ51513.mp3]
倒産	とうさん	(corporate) bankruptcy, insolvency	【名】  【自サ】  破产	[sound:SPXJ51582.mp3]
投資	とうし	investment	【名】  【自サ】  投资	[sound:SPXJ51598.mp3]
統治	とうじ	rule, reign, government, governing	【名】  【他サ】  统治	[sound:SPXJ51866.mp3]
統制	とうせい	regulation, control	【名】  【他サ】  统一控制; 统一管理	[sound:SPXJ51781.mp3]
当選	とうせん	being elected, winning the prize	【名】  【自サ】  当选; 中选	[sound:SPXJ51807.mp3]
逃走	とうそう	flight, desertion, escape	【名】  【自サ】  逃走; 逃跑	[sound:SPXJ51824.mp3]
統率	とうそつ	command, lead, generalship, leadership	【名】  【他サ】  统率	[sound:SPXJ51842.mp3]
到達	とうたつ	reaching, attaining, arrival	【名】  【自サ】  到达; 达到	[sound:SPXJ51858.mp3]
到底	とうてい	(cannot) possibly	【副】  (下接否定词, 语气甚强)无论如何也; 怎么也(同とても; どうしても)	[sound:SPXJ51910.mp3]
丁々	とうとう	clashing of swords, felling of trees, ringing of an ax		
投入	とうにゅう	throw, investment, making (an electrical circuit)	【名】  【他サ】  投入; 扔进去(同投げ入れる); 投入(资本, 劳力等)(同つぎこむ)	[sound:SPXJ51987.mp3]
当人	とうにん	the one concerned, the said person	【名】  本人; 当事人	[sound:SPXJ51993.mp3]
逃亡	とうぼう	escape	【名】  【自サ】  逃走; 逃跑; 逃亡; 亡命	[sound:SPXJ52120.mp3]
冬眠	とうみん	hibernation, winter sleep	【名】  【自サ】  冬眠; 停顿	[sound:SPXJ52165.mp3]
登録	とうろく	registration, register, entry, record	【名】  【他サ】  登记; (在有关机关)登记; 注册	[sound:SPXJ52311.mp3]
討論	とうろん	debate, discussion	【名】  【自サ】  讨论	[sound:SPXJ52316.mp3]
遠ざかる	とおざかる	to go far off	【自五】  远离; 离远; 疏远; 不用; 节制; 克制	[sound:SPXJ51568.mp3]
遠回り	とおまわり	detour, roundabout way	【名】  【自サ】  【形動】  绕远; 绕道	[sound:SPXJ52145.mp3]
通りかかる	とおりかかる	to happen to pass by	【自五】  恰巧路过	[sound:SPXJ52254.mp3]
兎角	とかく	anyhow, anyway, somehow or other, generally speaking, in any case, this and that, many, be apt to	【副】  【自サ】  (多用假名书写)种种; 这个那个; 动不动; 动辄; 不知不觉之间	[sound:SPXJ52337.mp3]
咎める	とがめる	to blame, to find fault, to take someone to task, to aggravate (an injury)		[sound:SPXJ52353.mp3]
時折	ときおり	sometimes	【副】  有时; 偶尔(同ときどき; ときたま)	[sound:SPXJ52389.mp3]
跡切れる	とぎれる	to pause, to be interrupted	【自下一】  间断; 中断; 断绝	[sound:SPXJ52475.mp3]
説く	とく	to explain, to advocate, to preach, to persuade	【他五】  说明; 劝说; 说服(同説得する); 宣传; 提倡; 说教	[sound:SPXJ52485.mp3]
特技	とくぎ	special skill	【名】  特别技能(技术)	[sound:SPXJ52536.mp3]
特産	とくさん	specialty, special product	【名】  特产	[sound:SPXJ52561.mp3]
特集	とくしゅう	feature (e.g. newspaper), special edition, report	【名】  【他サ】  专刊; 专辑	[sound:SPXJ52597.mp3]
得点	とくてん	score, points made, marks obtained, runs	【名】  (学习, 竞赛等的)得分	[sound:SPXJ52688.mp3]
特派	とくは	send specially, special envoy	【名】  【他サ】  特别派遣	[sound:SPXJ52711.mp3]
特有	とくゆう	characteristic (of), peculiar (to)	【形動】  特有	[sound:SPXJ52776.mp3]
研ぐ	とぐ	to sharpen, to grind, to scour, to hone, to polish, to wash (rice)	【他五】  磨快; 擦亮; 磨光; 淘	[sound:SPXJ52491.mp3]
刺	とげ	thorn, splinter, spine, biting words	【名】  (植物上的)刺; (扎在身上的)刺; (说话)尖酸; (话里有)刺	[sound:SPXJ30051.mp3]
遂げる	とげる	to accomplish, to achieve, to carry out	【他下一】  完成; 达到(同はたす); 终于...	[sound:SPXJ52834.mp3]
床	とこ	bed, sickbed, alcove, padding	【名】  床铺; 被褥; 地板(同ゆか); 苗床(同なえどこ); 河床	[sound:SPXJ52841.mp3]
所が	ところが	however, while, even if		
所で	ところで	by the way, even if, no matter what		
年頃	としごろ	age, marriageable age, age of puberty, adolescence, for some years	【名】  大约的年龄; (姑娘们由十七, 八岁到二十岁左右的)妙龄, 该结婚的年纪  【副】  几年来; 多年来	
年寄り	としより	old people, the aged	【名】  老人; (武士统治时代参与政务的)重臣; (江户时代村镇的)村长; (江户幕府中的)女管家	[sound:SPXJ53051.mp3]
戸締り	とじまり	closing up, fastening the doors		
途上	とじょう	en route, half way	【名】  道上; 路上; 中途	[sound:SPXJ53028.mp3]
綴じる	とじる	to bind, to file	【他上一】  订缀; 订上; (把夹衣的里和面)缝在一起	[sound:SPXJ53061.mp3]
途絶える	とだえる	to stop, to cease, to come to an end	【自下一】  断绝; 杜绝; 中断(同中断する)	[sound:SPXJ53112.mp3]
特許	とっきょ	special permission, patent	【名】  【他サ】  (政府的)特别许可; 专利许可; 专利权	[sound:SPXJ53177.mp3]
疾っくに	とっくに	long ago, already, a long time ago	【副】  老早; 很早以前	[sound:SPXJ53191.mp3]
特権	とっけん	privilege, special right	【名】  特权	[sound:SPXJ53206.mp3]
咄嗟	とっさ	moment, instant		[sound:SPXJ53223.mp3]
取っ手	とって	handle, grip, knob		[sound:SPXJ53249.mp3]
突破	とっぱ	breaking through, breakthrough, penetration	【名】  【他サ】  突破; 冲破; 闯过; 超过; 打破(标准数量)	[sound:SPXJ53272.mp3]
突如	とつじょ	suddenly, all of a sudden	【副】  【形動】  突然; 突如其来	[sound:SPXJ53228.mp3]
迚も	とても	very, awfully, exceedingly		
整える	ととのえる	to put in order, to get ready, to arrange, to adjust	【他下一】  整理; 整顿; 使整齐	[sound:SPXJ53342.mp3]
届け	とどけ	report, notification, registration	【名】  申报	[sound:SPXJ53321.mp3]
滞る	とどこおる	to stagnate, to be delayed	【自五】  迟延; 耽搁; 拖欠	[sound:SPXJ53337.mp3]
止まる	とどまる	to be limited to	【自五】  止于; 限于	[sound:SPXJ53349.mp3]
留める	とどめる	to stop, to cease, to put an end to	【他下一】  (把...)停下; 停住; 停止; 止住; 堵住; 制止; 阻止; 关闭; 关上; 禁止; 阻拦; 留下; 扣留; 记住; 留在(心上)	[sound:SPXJ53642.mp3]
止める	とどめる	to stop, to cease, to put an end to	【他下一】  停止; 放弃; 忌; 戒除; 辞(职); 停(学)	[sound:SPXJ77065.mp3]
唱える	となえる	to recite, to chant, to call upon	【他下一】  (有节奏地)念, 诵; 提倡; 主张; 声明; 提出; 高喊; 高呼; 喊价; 报价	[sound:SPXJ53366.mp3]
